,denny_e1,denny_e2,denny_e3,denny_w1,denny_w2,denny_w3,yesler_e1,yesler_e2,yesler_w1,yesler_w2,boren_se1,boren_nw3,boren_se2,boren_nw2,boren_se3,boren_nw1,pine_e1,pine_w2,pine_w1,pine_e2,pine_w3,stewart_w1,seven_n1,seven_s1,first_se1,first_nw3,first_se2,first_nw2,first_se3,first_nw1
18000.00-21600.00,276,178,154,276,237,216,38,50,11,37,87,22,213,48,127,77,50,155,76,56,92,62,91,438,45,13,31,148,68,76
21600.00-25200.00,587,432,245,752,635,497,145,96,125,112,301,144,395,180,250,184,101,456,155,147,286,192,346,1140,75,55,88,322,187,182
25200.00-28800.00,998,616,409,629,649,674,219,279,270,203,584,251,665,243,529,350,160,576,259,231,458,333,524,1565,182,145,243,458,233,404
28800.00-32400.00,1083,631,369,456,584,912,321,348,287,200,626,286,583,364,581,431,209,666,363,255,486,396,623,1169,237,160,436,445,339,357
32400.00-36000.00,878,582,413,534,597,885,322,331,211,191,620,154,508,312,671,574,190,460,195,213,538,395,658,934,184,123,466,366,494,428
36000.00-39080.10,86,104,71,324,162,173,32,114,0,78,128,46,113,112,88,199,28,288,52,73,161,31,139,96,12,14,13,105,50,176
